eng_dep_surp,zh_dep_surp,
6.253027,3.0084693,-3.2445577
4.7213054,5.6488976,0.9275922
4.697758,5.9348183,1.2370603
5.1070347,0.835064,-4.2719707
4.570305,3.3041523,-1.2661527
3.1201856,4.0452027,0.9250171
4.2462077,6.1155834,1.8693757
5.003861,5.4881105,0.4842495
4.6032186,6.146909,1.5436904
2.1936789,3.6788476,1.4851687
3.7478285,4.1920004,0.4441719
2.1291616,5.5611053,3.4319437
5.0276856,6.1155834,1.0878978
2.9742372,3.465996,0.4917588
3.6157577,6.1155834,2.4998257
4.560919,6.1578684,1.5969494
4.9133143,6.4697857,1.5564714
1.6429392,4.759579,3.1166398
6.744964,6.1990705,-0.5458935
4.849754,3.5579443,-1.2918097
3.7798002,6.228681,2.4488808
3.0811381,5.4736595,2.3925214
4.0092645,4.6754193,0.6661548
2.8853958,2.342572,-0.5428238
3.5606575,5.9348183,2.3741608
4.481075,5.9348183,1.4537433
5.6862564,6.228681,0.5424246
4.916467,6.1990705,1.2826035
2.7882633,6.228681,3.4404177
5.1636696,3.858526,-1.3051436
3.8599303,6.1155834,2.2556531
3.7847695,5.8091946,2.0244251
3.9007914,6.228681,2.3278896
6.008259,6.071141,0.062882
3.668687,3.5822,-0.086487
4.4007683,3.9097624,-0.4910059
7.0133834,3.8559983,-3.1573851
6.388745,5.449449,-0.939296
5.13553,5.161742,0.026212
2.437195,5.9348183,3.4976233
4.463519,5.9348183,1.4712993
2.4993927,3.3621848,0.8627921
7.0477314,6.228681,-0.8190504
1.9907002,1.5929828,-0.3977174
5.9345765,5.9348183,0.0002418
5.3287935,5.4364395,0.107646
4.425539,6.1155834,1.6900444
3.753338,6.1990705,2.4457325
3.7191782,6.1990705,2.4798923
4.702864,6.4697857,1.7669217
3.68663,6.1155834,2.4289534
4.9117494,3.6275802,-1.2841692
2.352581,3.8068547,1.4542737
4.425539,6.1155834,1.6900444
4.0092645,3.1043303,-0.9049342
4.702864,6.1578684,1.4550044
3.5419612,6.1990705,2.6571093
2.7842193,2.9384449,0.1542256
5.761818,3.775039,-1.986779
4.7692056,6.4697857,1.7005801
4.849754,4.7451134,-0.1046406
3.0164373,5.748208,2.7317707
4.233794,5.106779,0.872985
3.9596064,6.1990705,2.2394641
3.7297943,6.1155834,2.3857891
4.6007953,3.401777,-1.1990183
6.026497,3.6788476,-2.3476494
4.0092645,4.6754193,0.6661548
4.3565235,4.7026343,0.3461108
4.044513,6.228681,2.184168
5.433424,6.228681,0.795257
4.518683,4.841794,0.323111
6.7837324,6.0358357,-0.7478967
4.285555,6.1155834,1.8300284
4.0092645,1.3195608,-2.6897037
5.8346195,1.8604308,-3.9741887
2.560672,4.55589,1.995218
2.804029,1.7969531,-1.0070759
4.702864,6.7175035,2.0146395
4.2823844,3.6155353,-0.6668491
4.695097,3.7321,-0.962997
5.7307634,5.8091946,0.0784312
2.9958634,5.741513,2.7456496
4.769674,2.6500092,-2.1196648
5.7307634,5.9348183,0.2040549
5.144881,6.1990705,1.0541895
5.7307634,5.8091946,0.0784312
3.096243,6.5526805,3.4564375
4.4861236,6.147399,1.6612754
3.178241,2.5683515,-0.6098895
3.7191782,6.5526805,2.8335023
4.769674,5.6755657,0.9058917
4.425539,6.1155834,1.6900444
3.6243675,3.6616652,0.0372977
4.6264,5.5592813,0.9328813
5.165313,4.8258305,-0.3394825
3.749921,2.90321,-0.846711
3.864887,6.4697857,2.6048987
4.7577767,5.9348183,1.1770416
5.628904,5.958043,0.329139
