non_cs_sentences_surps,cs_sentences_before_cs_surp,cs_sentences_cs_back_surp,cs_sentences_after_cs_surp,sample_zhwiki_surp
7.1670523,7.2162104,4.3535395,6.734556,7.2105746
7.1670523,7.1670523,5.633144,7.2580786,7.1735477
4.947908,7.1670523,3.8187919,5.225617,5.530434
5.096284,6.2574387,4.6347876,7.0027795,6.8964047
7.481098,7.2036614,4.5921493,7.1807833,4.7828836
4.3740377,4.1759996,7.310274,6.6841683,7.3390093
7.1670523,7.21781,7.3514414,4.439318,6.6978993
3.0130775,6.4618325,7.310274,7.3514414,4.239999
7.3514414,6.8863854,7.3514414,4.408031,5.2985525
6.6841683,7.1735477,4.3535395,6.216312,7.2971773
4.1803713,7.1807833,4.3535395,7.1807833,7.1670523
6.3825297,7.1670523,7.3514414,7.1670523,6.558925
7.1807833,7.3514414,4.3535395,7.1598167,4.1897306
4.1666403,7.1670523,7.310274,4.430604,6.734926
7.2327523,7.1670523,4.464805,7.1447806,6.330797
7.1735477,7.1670523,4.3535395,7.1735477,4.1803713
6.2199664,6.3825297,5.320925,7.1735477,7.239988
4.1803713,7.2138476,7.3514414,6.8863854,7.1670523
3.2731566,7.3514414,7.0391965,7.3514414,7.1670523
7.316816,7.3514414,7.3514414,7.1670523,4.1759996
4.1485014,5.225617,7.3514414,6.8685575,7.2105746
4.410944,6.5610642,4.875668,7.1807833,4.1803713
7.0570436,6.715567,3.9106045,6.315496,5.9779387
7.1807833,7.1807833,4.430604,7.2138476,6.726293
3.4168775,5.580385,7.3514414,7.1670523,4.1897306
7.249384,5.762203,7.3514414,7.1670523,7.21781
4.1666403,7.1875896,5.470902,7.1670523,7.1598167
6.534768,6.315496,5.320925,6.566919,5.3477836
5.594116,5.594116,7.3514414,7.1807833,6.7216253
5.762203,6.9218125,7.3514414,6.2574387,4.1897306
6.403067,4.204392,7.3514414,7.196426,6.9234123
7.1807833,7.3514414,5.9696717,6.695786,7.1735477
7.1670523,4.1759996,7.3514414,5.476812,7.1807833
3.4168775,7.21781,7.3514414,7.7644606,6.8726544
7.2421484,7.1598167,4.3535395,5.683073,5.9435697
4.1803713,4.1897306,5.0597463,3.9106045,6.901932
7.239988,7.3514414,7.3514414,7.4291463,7.1735477
4.328849,7.3514414,5.8130903,5.594116,4.1897306
7.275574,7.1670523,6.3906245,7.2162104,7.2105746
4.1666403,4.2973504,7.3514414,7.1670523,6.8863854
2.3974364,7.39772,7.3514414,7.1598167,4.1897306
7.2670517,6.8726544,4.8926983,7.1807833,7.2105746
7.1598167,7.1735477,7.3514414,7.3514414,3.0268083
7.1807833,7.1807833,4.3535395,3.4168775,8.200497
4.1666403,4.1759996,6.8685575,7.249384,6.8726544
7.239988,7.344206,7.3514414,7.1670523,7.0151505
7.1670523,5.320925,7.3514414,7.1670523,7.1807833
6.2062354,7.263266,7.3514414,7.1598167,6.6841683
7.1807833,7.1670523,3.9106045,5.239348,4.239999
5.713045,5.225617,7.3514414,7.289942,5.8714395
4.26932,5.7105103,7.3514414,5.548743,6.7177243
6.1919475,5.762203,5.937234,7.3965464,7.240411
7.1877046,7.180354,5.769229,7.1598167,4.1759996
6.572656,4.1924424,7.0570436,5.316522,7.21781
7.1807833,7.3514414,7.3514414,6.195564,6.8726544
3.0130775,7.1670523,7.344206,7.5484495,4.1803713
5.096284,7.3514414,4.51397,6.6841683,5.3139744
6.558925,6.6841683,7.310274,7.1807833,7.191703
7.446082,5.239348,7.3514414,6.8726544,7.1598167
6.558925,5.7105103,5.096284,7.302313,7.1807833
4.4550295,5.762203,6.7433143,7.1807833,7.1598167
7.21781,7.3514414,5.3795176,7.1670523,4.7828836
7.1670523,5.713045,7.310274,7.3514414,6.863361
7.1670523,5.944968,7.3514414,7.1670523,3.0268083
3.0130775,6.9153414,7.3514414,7.1670523,8.193261
6.5610642,7.1807833,5.992529,7.1670523,6.8863854
6.715567,6.8726544,5.096284,7.1670523,6.6978993
6.6978993,7.3514414,7.3514414,5.683073,5.316522
5.594116,7.1670523,7.344206,7.0570436,7.198466
5.762203,7.1598167,7.3514414,7.1807833,6.6841683
3.0130775,7.1807833,7.3514414,7.1598167,6.6322837
7.0570436,7.3514414,5.769229,7.1807833,4.239999
6.2199664,5.225617,7.3514414,6.6841683,5.8907514
6.4755635,7.3514414,7.0391965,7.1735477,6.482168
4.2274003,4.328849,7.0391965,6.6978993,7.1807833
7.2327523,7.3514414,7.310274,4.1897306,5.3340526
5.642432,7.3514414,7.3514414,7.21781,6.9101114
7.213805,7.3514414,3.9106045,7.3514414,6.399935
5.9298387,7.3514414,7.3514414,7.1670523,7.1735477
7.3514414,5.225617,7.344206,7.1670523,7.1735477
5.225617,7.310274,7.3514414,7.1670523,7.1807833
4.1666403,7.198451,3.5775623,7.1670523,3.0130775
7.239988,6.207384,6.002205,7.1598167,7.3514414
7.1670523,6.3890934,5.0366387,7.1735477,4.3314185
7.1670523,7.0391965,7.3514414,7.1807833,6.953135
7.1670523,6.904053,7.3514414,7.1670523,6.68286
4.1666403,7.1807833,7.0391965,7.1670523,5.545488
7.2327523,4.2973504,4.5921493,7.1670523,5.273294
7.1735477,4.51397,6.207384,7.1670523,6.707955
6.3962607,7.344206,5.945257,5.8130903,4.9174786
6.0029764,6.8569107,4.3535395,6.605678,4.997322
4.2424345,6.4932313,4.3535395,5.594116,4.61148
7.21781,7.1807833,5.320925,5.762203,7.5221314
7.1670523,7.1670523,5.096284,6.0669475,7.1735477
6.8726544,7.3514414,7.3514414,6.3265243,4.9161453
7.302313,7.1670523,7.3514414,5.096284,6.8233137
7.1807833,7.1670523,4.3535395,7.481098,4.1897306
3.0130775,6.119012,4.3535395,6.558925,4.624253
5.937234,6.4104176,4.494424,6.6978993,4.61148
5.9306693,4.1897306,4.3535395,4.1897306,3.9760242
6.50003,6.9234123,6.5610642,6.9234123,7.2576556
6.704137,7.1807833,7.0570436,3.4306083,5.235837
7.2331753,6.3825297,7.344206,6.4648614,6.707955
3.0268083,7.1807833,5.096284,7.1807833,4.857851
6.3968234,7.0570436,7.344206,7.344206,1.8583531
4.1666403,5.726776,7.310274,5.594116,0.15245734
5.329964,7.3514414,7.3514414,7.2162104,7.2181907
5.252599,7.1670523,7.3514414,5.580385,4.84412
7.2971773,7.1670523,5.554334,5.762203,1.8583531
4.1666403,6.4618325,6.5610642,7.1875896,0.15245734
7.2327523,6.207384,4.430604,6.558925,7.210955
7.1807833,7.3426747,7.3514414,7.1807833,4.857851
7.1670523,7.1735477,4.3535395,7.1670523,4.5904675
6.558925,7.3514414,7.310274,4.904821,4.5627704
3.0268083,7.1670523,7.3514414,6.996117,7.1987634
7.3514414,6.0636654,7.3514414,6.132743,5.969912
7.1670523,7.0570436,6.064045,5.2535048,5.8263917
7.1670523,6.3962607,5.8662863,7.2971773,7.2458987
4.1666403,7.3514414,5.320925,4.1759996,7.1670523
7.239988,7.1598167,5.096284,7.21781,7.1598167
6.8726544,7.1735477,6.148499,7.344206,4.1897306
7.302313,7.1807833,6.417439,7.1807833,7.2105746
6.572656,5.225617,7.3514414,5.225617,4.4342384
4.1803713,7.0027795,3.9106045,7.289942,6.0605426
6.94559,5.918734,7.3514414,4.023972,6.702206
7.302313,7.3514414,5.937234,7.3514414,6.946013
7.1735477,6.8726544,7.3514414,4.328849,5.0499797
3.0268083,7.1807833,5.096284,7.275574,4.9003644
