,original_sentence,cs1_index,cs2_index,distance
232,apartment 的 名字 叫 royal plaza ， 可以 上 他们 的 网站 上看 ， 我们 住 一 层 。,0,1,1
233,另外 一 个 卧室 也 希望 能 半价 出售 queen size 的 床 ， 价钱 好 商量 。,9,16,7
234,房子 有 三 个 洗手间 ， 二 楼 三 人 share 一 个 大 洗手间 ， 有 猫 脚 浴缸 。,10,11,1
236,地下室 有 洗衣机 ， house 里 有 厨房 ， 洗手间 . C320,4,5,1
238,这个 apt 是 pitts university 负责 管理 的 ， 附近 也 基本 没有 安全 问题 。,1,2,1
239,住宿 ： 整个 house 三 层 。,3,4,1
241,neighborhood 环境 很 好 ， 房子 非常 安静 。,0,2,2
243,: 我 没 研究 出来 咋 在 这里 付 图片 ， 想 看 房间 照片 的 欢迎 email 或者 短信 我 ！,17,19,2
245,房间 内 有 一 个 closet 可以 放 衣服 。,5,6,1
246,bonus : 本人 有 车 ， 周末 可以 一起 采购 。,0,2,2
247,有 basement ， 独立 laundry ， 门口 可以 免费 停车 。,1,3,2
248,这个 房子 ， 是 新 签 下来 的 lease ， 所以 一切 都 是 全新 的 。,8,10,2
249,房东 很 nice ， 房子 的 设施 都 会 很 及时 的 维修 。,2,4,2
250,不 存在 某些 house 暖气 费 很 贵 ， 却 还是 不 暖 的 问题 。,3,4,1
251,公寓 在 非常 好 的 location ， 安静 安全 ， 又 方便 。,5,7,2
252,各 人 空间 互 不 打扰 ， share 厨房 客厅 餐厅 和 卫生间 。,7,9,2
253,公寓 有 免费 gym 和 parking 。,3,4,1
254,house 位 于 独 栋 别墅 二 层 ， 三 室 两 厅 ， 客厅 不 住 人 。,0,1,1
255,house 暑假 短租 ！,0,1,1
257,这 是 apartment 的 网址 （ 不 是 病毒 ！,2,3,1
258,户型 ： studio 超级 温馨 的 一 个 小 开间 ， 一 个 人 或者 情侣 住管够 ！,2,9,7
260,卧室 、 客厅 和 厨房 的 家居 齐全 ， 有 独 用 的 小 客厅 和 half 卫生间 。,16,18,2
261,是 一 个 house ， 非常 干净 整洁 。,3,5,2
262,现在 meyers 的 房子 整体 都 涨价 了 各个 apartments .,10,3,1
263,apartments 有意 请 联系 pn-10 顶,1,2,1
264,希望 能 找到 起码 不 是 街 park 的 住房 ， 有 garage 最好 。,6,8,2
265,房子 ： 独立 house ， 二 层 的 一 间 卧室 。,0,5,5
266,可 步行 至 forbes 或 murray 乘 bus 去 学校 等地 。,8,4,1
267,请 联系 pn-11 或 email 至 em@43,4,6,2
268,lease 到 七月 底 ， 你 要 想 续 也 可以 直接 找 公司 续 。,0,1,1
269,地址 ： greenfield 住房 周围 环境 优美 有 park 可以 跑步 健身,8,3,1
270,一 层 duplex ， 超大 两 房 ( 15'*15' ) 一 卫 ， 木质 地板 .,2,5,3
271,匹 大 房产 ， management 非常 负责 。,4,6,2
272,房间 是 house 里面 的 一 间 ， 地址 在,2,3,1
274,这 是 一 个 二 层 house 的 一 楼 。,6,7,1
275,公寓 在 一 个 三 层 house 的 两 楼 。,6,7,1
276,客厅 的 大 窗户 外面 是 个 草地 ， view 还 不错 ， 卧室 不 临街 。,9,10,1
277,一 个 queen size 的 床 。,2,4,2
278,queen size bed 非常 大 的 closet ！,0,2,2
279,living room 与 bedroom 彻底 分离 ， 也 比 bedroom 大 一 圈 。,0,1,1
281,所以 我 经常 有 一 个 人 坐 拥 一 个 大 apt 的 感觉 。,12,13,1
282,匹兹堡 冬天 很 长 ， 我 朋友 住 house 一 个 月 暖气 费 就 要 100+ 均摊 到 一 个 人 身上 ， 还 要 自己 照顾 垃圾 费 和 别的 杂费 。,7,9,2
283,house 门口 就 是 停车场 ， 有 车 的 同学 也 会 十分 方便 。,0,1,1
284,公寓 带 garage ， 也 有 露天 车位 ， 有 车 的 朋友 比较 方便 ， 公寓 每 周 都 有 人 来 打扫 公共 区域 ；,2,4,2
285,另外 ， 我 的 时间 很 flexible ， 入住 时间 ， 价格 可 洽谈 哈 。,6,8,2
286,可以 免费 提供 queen size 床 （ 新 ） 、 写字台 等 设施 。,3,13,10
287,apartment 由 公司 管理 ， 服务 非常 到位 ， 任何 东西 坏 了 只 需 一 个 电话 ， 修理 十分 及时 。,0,1,1
288,apartment 在 elwood 上 ， 安静 ， 安全 ， 公交 方便 。,0,1,1
289,apt 是 三 居室 ， 住 的 都 是 女生 。,0,1,1
292,周围 几 个 block 住 的 都 是 传统 犹太 家庭 ， 邻里 和睦 ， 安全 有 保障 。,3,4,1
293,两 室 两 厅 apartment ， 房间 巨大 ， 宽敞 明亮 。,4,6,2
295,该 house 目前 三 女 两 男 。,1,2,1
296,house 一 层 。,0,1,1
297,你 既可以 和 我 睡 一 间 bedroom （ 中间 可用 隔断 ， 价格 $555+网费 ） ， 也 可以 睡 客厅 （ $490 所有 费用 都 包括 ） 。,7,9,2
300,目前 出租 house 里面 一 个 非常 容易 隔断 的 客厅 ， 地方 很 大 ， 而且 有 自己 的 half bathroom 。,2,4,2
301,请 问 还有 房间 吗 目前 还有 ， 有意 请 速 与 我 email 联系 。,13,14,1
302,房租 不 包括 utilities 水 / 电 / 气 / 垃圾费 。,3,5,2
303,匹兹堡 独 栋 house 两 间 卧室 出租 。,3,4,1
304,house 门口 免费 停车 。,0,2,2
305,可以 放 queen size 的 床 。,2,7,5
307,lease 从 8 .,0,2,2
309,如果 想 拎包 入住 ， furniture 都 好 商量 。,5,9,4
310,在 s pacific 上 的 house 。,5,3,2
311,出入 apartment 需要 专门 的 钥匙 ， 所以 非常 安全 。,1,2,1
312,超大 living room 出租 ， 有 一 个 很 大 的 窗户 ， 通风 明亮 ， 对面 就是 教堂 ， 风景 和 采光 都 是 一流 。,1,2,1
313,bathroom 淋浴 暖气 齐全 。,0,1,1
315,有 兴趣 的 同学 随时 email 或者 留言 ， 谢谢 。,5,6,1
316,email 联系 ， em@48 企鹅 .,0,1,1
317,下面 有 floor plan 的 图 ， 我 家 正好 是 左右 反 一 反 ， 然后 bedroom 顶上 还 有 一 面 窗 。,2,4,2
318,house 里 有 washer dryer dishwasher 。,0,1,1
319,出租 的 是 house 里面 的 几 个 卧室 ， 有 家具 。,3,4,1
322,washer and dryer ( free to use ) ， 大量 储藏 空间 。,0,7,7
323,房型 ： 是 一 个 house ， 里面 有 四 个 卧室 。,5,7,2
324,washer dryer 在 地下室 ， 免费 实用 ；,0,3,3
326,也可以 email 联系 。,1,2,1
327,topic : 出租 客厅 ！,0,2,2
328,因为 两 个 房间 离 客厅 都 很 远 ， 中间 隔 有 dining room ， kitchen 还有 bathroom 相隔 ， 所以 互相 干扰 不 大 。,13,16,3
330,， 是 一 栋 house ， 三 个 房间 加 一 个 阁楼 ， 两 个 bathroom 。,4,6,2
331,绝对 是 squirrel hill 最 好 的 house 了 ， 没有 之一 ！,6,3,2
332,email 联系 em@52,0,1,1
334,附近 有 一 个 playground ， 可以 打 篮球 ， 羽毛球 ， 网球 等等 。,4,6,2
336,其他 另外 本人 去年 暑假 就 来 参加 了 acc ， 如果 是 参加 acc 的 同学 ， 我 这里 可以 无偿 提供 教材 和 资料 。,9,11,2
337,主 卧室 ( bedroom ) 含 独立 卫生间 ： 5/15-6/30,1,5,4
338,floor plan 已 附 。,0,2,2
340,house 有 三 个 bedroom ， 出租 其中 一 个 。,0,1,1
342,房子 采用 节能 设计 ， utilities 相比 很多 其他 房子 便宜 。,5,7,2
345,plus ： 因为 是 house ， 前门 的 porch 是 我们 ， feel free to use 。,0,2,2
347,备注 : 这 间 apartment 住房 的 质量 不同 ， 有的 房间 暖气 什么 都 不 work ， 我们 房间 各 个 设施 都 可以 work .,4,5,1
348,更多 照片 可以 来 email 联系 提供 。,4,5,1
349,但是 在 email 里面 他 想 索要 我 的 地址 ， 想要 给 我 寄 支票 。,2,3,1
350,房型 结构 ： house 一共 三 层 ， 共 四 间 卧室 ， 一 层 是 客厅 和 厨房 ， 二 、 三 两 层 各 两 间 卧室 和 卫生间 。,3,4,1
351,basement 有 free laundry and dryer .,0,1,1
352,照片 可以 来 email 联系 提供 。,3,4,1
353,包括 床 （ queen size ） ， 桌子 ， 转椅 ， 柜子 ， 灯 等等 。,3,8,5
354,家具 : 有 一些 家具 ， basement 里面 也 有 一些 之前 同学 留下 的 。,6,7,1
