,random_non_cs_1_word,word_freq_zh,cs_word_pos_zh,cs_word_length_zh,sentence_length_zh,ngram_surp_zh
412,有,5.134998086658783,VE,1,9,5.225617
413,一,4.847867458993145,CD,1,8,5.320925
414,去,7.644150990208443,VV,1,12,6.315496
415,不卖,24.01388396175678,AD,2,6,7.1670523
416,。,24.01388396175678,PU,1,14,3.0268083
417,每,7.4990523241899085,PN,1,6,6.734556
418,进行,6.477378491284941,VV,2,11,6.8726544
419,停车,12.046150996062774,NN,2,13,7.3240514
420,卧室,13.152579930518,NN,2,13,7.2162104
421,的,2.7277528723935442,DEG,1,18,4.1897306
422,高,7.330933357006375,VA,1,7,6.4618325
423,看,6.722812177952763,VV,1,5,6.558925
424,是,4.463178522257185,VC,1,6,4.3110814
425,必需品,12.159932359215729,NN,3,9,7.1807833
426,一,4.847867458993145,CD,1,9,5.811053
427,一,4.847867458993145,CD,1,13,5.811053
428,。,24.01388396175678,PU,1,19,3.0268083
429,个,5.928795457736317,M,1,14,5.726776
430,联系,7.951912412664681,NN,2,11,7.1670523
431,低价,24.01388396175678,VA,2,9,7.1670523
432,求,9.094434990806317,VV,1,5,6.6078076
433,家具,11.90869298800786,NN,2,12,7.249384
434,车况,16.368486262328148,NN,2,12,7.3514414
435,有,5.134998086658783,VE,1,24,5.2985525
436,出现,7.539071247746751,VV,2,9,7.2050266
437,可,7.093452252120851,AD,1,9,6.3825297
438,出租,10.550818733744295,VV,2,3,7.3514414
439,。,24.01388396175678,PU,1,8,3.0130775
440,两,6.622455166510385,CD,1,6,7.3514414
441,安静,11.606647560520457,VA,2,16,7.239988
442,兴趣,9.374637969896654,NN,2,8,7.481098
443,饭厅,16.63175959601927,NR,2,26,7.1875896
444,棒球,14.080158226160043,VA,2,11,6.4755635
445,精力,10.456833300234283,NN,2,8,7.21781
446,帮,11.038652619260567,VV,1,4,7.344206
447,。,24.01388396175678,PU,1,33,3.0130775
448,的,2.7277528723935442,DEG,1,11,4.1759996
449,了,4.559665786076213,SP,1,11,6.6978993
450,两,6.622455166510385,CD,1,16,7.39772
451,和,4.681213610519307,CC,1,10,3.547349
452,问卷,11.569558487111854,NN,2,24,7.239988
453,可不可以,24.01388396175678,AD,4,7,7.3514414
454,房间,10.717802599032664,NN,2,9,7.3514414
455,地理,9.603038079621976,NN,2,6,7.2105746
456,单,9.185198821891873,NN,1,15,6.8863854
457,非常,8.291759627895479,AD,2,21,7.1598167
458,试车,13.715015307566508,VV,2,6,7.1807833
459,都,6.185283294221549,AD,1,13,7.2820754
460,车身,13.93577105906117,NN,2,5,7.3514414
461,倾向,9.232310894450837,NN,2,15,7.1670523
462,配,10.462204844036195,VV,1,7,6.8569107
463,有,5.134998086658783,VE,1,15,5.225617
464,很,6.723622818117736,AD,1,4,7.456614
465,，,24.01388396175678,PU,1,23,4.1666403
466,，,24.01388396175678,PU,1,26,4.1666403
467,。,24.01388396175678,PU,1,13,3.0130775
468,开,8.171945451148387,VV,1,18,7.1670523
469,！,24.01388396175678,PU,1,6,5.9298387
470,。,24.01388396175678,PU,1,6,3.0130775
471,台,9.091768144195473,NR,1,7,6.9218125
472,的,2.7277528723935442,DEG,1,8,4.1759996
473,和,4.681213610519307,CC,1,6,3.4168775
474,潜在,10.375777869318176,JJ,2,7,7.1670523
475,1,6.578185937864014,CD,1,6,4.6128607
