cs_ngram_diff,cs_dep_diff,non_cs_ngram_diff,non_cs_dep_diff
-3.8822804,-3.2883054,0.959652,-2.9195755
-2.239482,-0.063278,3.1816356,-0.9149332
-1.6175988,-3.7004658,-0.6511336,-1.4967707
0.8263192,-0.929033,-1.7842305,-0.629082
-1.1503658,-0.9647545,-0.040461,-0.5153544
-2.1681624,-2.1483074,-0.7683096,-3.0515842
-2.7313674,0.343555,0.938407,-0.5412493
-1.3492489,-1.2960415,1.3609662,4.0380921
2.8803316,-0.5378246,-3.1324255,0.75336
-3.8134864,3.1085207,-5.0164063,-1.8643253
-0.9429989,-2.1644234,2.9010854,0.4459398
-0.6386133,6.6314745,0.3431483,3.3373905
-1.1763846,-3.7730324,6.89980777,1.517378
-1.9858894,0.4609897,-0.040461,1.04818752
2.0997663,-1.2893697,-0.7260284,0.40764
-0.9819937,1.3651843,6.89980777,-0.4494993
-3.4277587,0.7157307,1.4094354,0.8075476
0.8970376,0.877951,0.365456,-0.1035968
-3.6869654,-1.1875767,1.1557014,1.5851483
-1.012224,1.0127818,-3.9316245,0.2018644
-0.6591046,-1.0138991,0.961443,2.068517
-0.374503,-1.606378,0.0245225,4.0066603
0.8970376,-1.6602753,-0.040461,-0.2786447
-3.217489,-1.1364685,1.2209413,-0.337685
1.5838222,0.7272377,-1.559432,-0.3427016
-3.7895254,-1.5975561,-3.5605828,1.9247491
-0.868688,0.0744134,1.5674777,0.1458175
-1.0402854,-1.0138991,0.961443,0.6133852
1.9081292,0.1537167,3.86522087,2.7879021
-2.5131386,1.0284983,-0.040461,0.7739305
-2.428273,1.136329,3.4576006,0.3612359
3.8949395,1.4077556,-0.8684158,-0.3240271
-1.570768,-1.5426213,6.85864037,0.5257096
-3.8822804,-1.1773764,-0.040461,2.2474403
0.0528812,-0.3908248,-2.9380415,1.0115445
-0.68626,-0.5398893,6.89257237,1.6236473
-1.7006181,0.4609897,-0.040461,1.04818752
-0.4284733,-0.4165106,0.2819168,1.2689803
-0.7549385,0.2732395,-3.7271687,0.6882383
1.352978,-0.061501,0.868688,1.0535569
-1.4707824,-1.3873175,1.1586239,-0.0704956
-1.2439447,0.1537167,-0.040461,0.4212941
-2.160927,-1.6041395,-1.513923,0.6330838
-2.0446077,0.834526,0.9614947,1.4471723
-1.5630431,0.075436,2.5398105,1.8135816
-0.8505954,0.9831186,3.2141354,0.6829323
-2.3465626,1.5204323,1.252008,0.7320347
-3.9611228,-1.2424533,1.9887064,-0.560266
2.9747265,-0.4858487,4.19552137,1.480065
1.289979,1.263516,-4.2499577,-2.3071977
-0.334676,1.4005671,0.8932036,-1.1113495
-1.2576354,-0.578139,3.78229,-0.363194
-3.9611228,-2.1102876,3.5609911,1.0010493
-0.9265359,0.9831186,-0.040461,2.38720772
1.5365205,1.3919206,1.3609662,4.5068125
